X,Y
"Газовая горелка с принудительной подачей воздуха, смесительная труба и огнеупорный туннель.","газовая горелка; принудительная подача воздуха; смесительная труба; огнеупорный туннель;"
"Генератор импульсов давления для диагностики трубопроводов, состоит из корпуса и быстродействующего клапана.","генератор импульсов давления; диагностика трубопроводов; корпус; быстродействующий клапан;"
"Регулятор давления топлива мембранный, возвратная магистраль.","регулятор давления топлива; мембранный регулятор; возвратная магистраль;"
"Устройство для крепления газового баллона к хроматографу включает редуктор.","устройство для крепления газового баллона к хроматографу; редуктор;"
"Без остановки агрегата регулируется производительность осевого шахтного вентилятора путем изменения угла установки лопаток рабочего колеса.","производительность; осевой вентилятор; шахтный вентилятор; угол установки; лопатка; рабочее колесо;"
"Фильтрующий элемент воздушного фильтра из бумаги.","фильтрующий элемент; воздушный фильтр; бумага;"
"Масляный фильтр двигателя включает бумажный фильтрующий элемент, перепускной клапан и противодренажный клапан.","масляный фильтр; двигатель; бумажный фильтрующий элемент; перепускной клапан; противодренажный клапан;"
"Шина для соединения прямоугольных воздуховодов включает профиль с уплотнителем и крепежные элементы.","шина; профиль с уплотнителем; крепежные элементы;"
"Установка для переработки пустырника в масло включает экстрактор.","установка для переработки пустырника в масло; экстрактор;"
"Устройство для крепления котла к полу включает фундаментные болты.","устройство для крепления котла к полу; фундаментный болт;"
"Рядный топливный насос высокого давления содержит плунжерные пары с поворотными плунжерами и кулачковый вал.","рядный насос; топливный насос; высокое давление; плунжерная пара; плунжер; кулачковый вал;"
"Катушка зажигания для системы зажигания с бронепроводами.","катушка зажигания; система зажигания; бронепровод;"
"Масляный радиатор для охлаждения масла двигателя, трубки.","масляный радиатор; охлаждение масла; двигатель; трубка;"
"Нефтепродукт-анализатор для контроля содержания нефтепродуктов в сточных водах.","нефтепродукт-анализатор; нефтепродукт; сточная вода;"
"Пластинчатый насос сдвоенного типа для гидроусилителя руля, две секции насоса работают на разные контуры.","пластинчатый насос; сдвоенный тип; гидроусилитель руля; секция; контур;"
"Датчик температуры отработавших газов с термопарой.","датчик температуры отработавших газов; термопара;"
"Поддон картера двигателя стальной штампованный, сливная пробка.","поддон картера; двигатель; сталь; штампованный поддон; сливная пробка;"
"Ректификационная колонна оснащена клапанными тарелками с переливными устройствами, обеспечивающими эффективный массообмен между поднимающимся паром и стекающей флегмой.","ректификационная колонна; клапанная тарелка; переливное устройство; массообмен; пар; флегма;"
"Кран-балка мостового типа с электрической талью, мост и тельфер.","кран-балка; мостовой тип; электрическая таль; мост; тельфер;"
"Атмосферная газовая горелка для котлов работает на принципе инжекции воздуха за счет энергии струи газа, выходящего из сопла, и не требует вентилятора.","атмосферная горелка; газовая горелка; котел; инжекция; воздух; газ; сопло; вентилятор;"
"Контактор переменного тока с дугогасительной камерой, главные и вспомогательные контакты.","контактор; переменный ток; дугогасительная камера; главный контакт; вспомогательный контакт;"
"Фитинг латунный для полипропиленовых труб с никелированным покрытием и уплотнительными кольцами.","фитинг латунный для полипропиленовых труб; никелированное покрытие; уплотнительные кольца;"
"Шестеренный насос включает корпус с рабочей камерой, ведущую и ведомую шестерни, всасывающий канал и напорный канал. Крышка корпуса закреплена болтовым соединением.","шестеренный насос; корпус; рабочая камера; ведущая шестерня; ведомая шестерня; всасывающий канал; напорный канал; крышка корпуса; болтовое соединение;"
"Анализатор спектра отображает распределение мощности сигнала по частоте.","анализатор спектра; мощность; сигнал; частота;"
"Струйный насос для перекачки жидкостей работает за счет энергии пара или воды, проходящих через сопло.","струйный насос для перекачки жидкостей;"
"Способ очистки газа от кислых компонентов с использованием абсорбции раствором метилдиэтаноламина с добавкой пиперазина и регенерации в десорбере с глухим паром.","раствор метилдиэтаноламина с добавкой пиперазина; десорбер с глухим паром;"
"Вихревой насос включает корпус с концентричным каналом, рабочее колесо с радиальными лопатками, всасывающий и нагнетательный патрубки, расположенные по касательной к корпусу.","вихревой насос; корпус; концентричный канал; рабочее колесо; радиальная лопатка; всасывающий патрубок; нагнетательный патрубок;"
"Пылеуловитель циклонного типа для очистки природного газа включает корпус с цилиндрической и конической частями, тангенциальный ввод газа и выхлопную трубу.","пылеуловитель; циклонный тип; природный газ; корпус; цилиндрическая часть; коническая часть; тангенциальный ввод газа; выхлопная труба;"
"Способ производства масла из лайма включает экстракцию из цедры.","способ производства масла из лайма; экстракция из цедры;"
"Спектрометр гамма-излучения включает полупроводниковый детектор и многоканальный анализатор.","спектрометр гамма-излучения; полупроводниковый детектор; многоканальный анализатор;"
"Смесительный узел для понижения температуры теплоносителя в системе теплого пола включает трехходовой клапан с сервоприводом и насос.","смесительный узел; понижение температуры теплоносителя; теплый пол; трехходовой клапан с сервоприводом; насос;"
"Корзина сцепления нажимной диск с диафрагменной пружиной.","корзина сцепления; нажимной диск; диафрагменная пружина;"
"Конвектор отопления включает теплообменник из медной трубы с алюминиевым оребрением и кожух.","конвектор отопления; теплообменник из медной трубы с алюминиевым оребрением; кожух;"
"Установка для депарафинизации дизельного топлива карбамидной депарафинизацией включает кристаллизаторы и центрифуги.","карбамидная депарафинизация; кристаллизаторы; центрифуги;"
"Газовый счетчик турбинный для коммерческого учета газа имеет турбинку с тангенциальными лопатками и магнитную муфту.","турбинка с тангенциальными лопатками; магнитная муфта;"
"Электропривод для управления запорной арматурой включает электродвигатель, редуктор и концевые выключатели.","электропривод; электродвигатель; редуктор; концевые выключатели;"
"Снегомер для измерения плотности и запаса воды в снежном покрове включает цилиндр для взятия пробы снега и весы.","снегомер; плотность; запас воды; снежный покров; цилиндр; проба; снег; весы;"
"Дымовой пожарный извещатель оптико-электронного типа реагирует на задымление и формирует сигнал тревоги.","дымовой извещатель; пожарный извещатель; оптико-электронный тип; задымление; сигнал тревоги;"
"Устройство для измерения содержания индия в воде включает атомно-эмиссионный спектрометр.","устройство для измерения содержания индия в воде; атомно-эмиссионный спектрометр;"
"Отвод тепла от хладагента в конденсаторе холодильной машины осуществляется воздушным потоком, создаваемым осевыми вентиляторами, через оребрение биметаллических труб.","отвод тепла; хладагент; конденсатор; холодильная машина; воздушный поток; осевой вентилятор; оребрение; биметаллическая труба;"
"Дренажный насос включает центробежный насос, поплавковый выключатель и защиту от сухого хода.","дренажный насос; центробежный насос; поплавковый выключатель; защита от сухого хода;"
"Датчик кислорода с нагревателем, керамический элемент.","датчик кислорода; лямбда-зонд; нагреватель; керамический элемент;"
"Труба для теплого пола из сшитого полиэтилена с антидиффузионным слоем включает внутренний слой PE-Xa, клеевой слой и внешний слой EVOH.","труба для теплого пола из сшитого полиэтилена; антидиффузионный слой; внутренний слой PE-Xa; клеевой слой; внешний слой EVOH;"
"Косилка самоходная для скашивания трав на сено или зеленый корм включает режущий аппарат, транспортёр и двигатель.","косилка самоходная; скашивание трав; сено; зеленый корм; режущий аппарат; транспортёр; двигатель;"
"Датчик загазованности метаном для котельных сигнализирует о превышении пороговой концентрации газа.","датчик загазованности метаном; котельные; пороговая концентрация газа;"
"Изоляция минераловатная для трубопроводов в виде цилиндров с фольгированным покрытием снижает теплопотери.","изоляция минераловатная; трубопроводы; цилиндры с фольгированным покрытием; снижение теплопотерь;"
"Кабель силовой с медными жилами и изоляцией из сшитого полиэтилена.","кабель силовой; медная жила; изоляция; сшитый полиэтилен;"
"Дожимная компрессорная станция содержит газоперекачивающий агрегат с центробежным компрессором, систему охлаждения газа и маслосистему.","дожимная компрессорная станция; газоперекачивающий агрегат; центробежный компрессор; система охлаждения газа; маслосистема;"
"Вакуумный выключатель включает вакуумную дугогасительную камеру, электромагнитный привод и контактную систему.","вакуумный выключатель; вакуумная дугогасительная камера; электромагнитный привод; контактная система;"
"Способ производства масла из чернушки включает прессование семян.","способ производства масла из чернушки; прессование семян;"
"Мембранный исполнительный механизм регулирующего клапана перемещает золотник в соответствии с сигналом позиционера, обеспечивая точное поддержание заданного расхода газа.","мембранный исполнительный механизм; регулирующий клапан; золотник; позиционер; расход газа;"
"Промежуточный теплоноситель для регазификации СПГ на основе гликоля содержит подогреватель, насос циркуляции и расширительный бак.","промежуточный теплоноситель; регазификация СПГ; гликоль; подогреватель; насос циркуляции; расширительный бак;"
"Твердофазная экстракция для извлечения и очистки веществ включает картридж с сорбентом.","твердофазная экстракция; извлечение веществ; очистка веществ; картридж с сорбентом;"
"Задвижка клиновая с выдвижным шпинделем, клипкет чугунный.","задвижка; клиновая задвижка; выдвижной шпиндель; клипкет; чугун;"
"Способ определения содержания ароматических углеводородов в нефтепродуктах методом УФ-спектроскопии с использованием кюветы.","УФ-спектроскопия; кювета;"
"Устройство для измерения пластового давления в остановленной скважине включает глубинный манометр с кварцевым резонатором.","глубинный манометр с кварцевым резонатором;"
"Насос повысительный для пожаротушения с частотным регулированием поддерживает постоянное давление в водопитателе.","насос повысительный для пожаротушения с частотным регулированием;"
"Затвор обратный для воздуха вентиляционного типа, лепесток на оси.","затвор обратный; воздух; вентиляционный тип; лепесток; ось;"
"Термоусадочный упаковщик для групповой упаковки продукции в термоусадочную пленку содержит упаковочный стол и термоусадочную камеру.","термоусадочный упаковщик; упаковочный стол; термоусадочная камера;"
"Глубина погружения ареометра в жидкость зависит от ее плотности, что позволяет считывать значение плотности по шкале.","ареометр; жидкость; плотность; шкала;"
"Установка для ректификации спирта с колоннами периодического действия.","колонны периодического действия;"
"Клапанный механизм газораспределения предназначен для закрытия впускных клапанов двигателя внутреннего сгорания на время, предусмотренное циклами Миллера или Аткинсона.","клапанный механизм газораспределения; впускной клапан; двигатель внутреннего сгорания;"
"Термогигрометр для одновременного измерения температуры и влажности воздуха объединяет термометр и гигрометр в одном корпусе с дисплеем.","термогигрометр; одновременное измерение температуры и влажности; термометр; гигрометр; корпус с дисплеем;"
"Вихревая горелка для сжигания мазута содержит улиточный аппарат для закрутки воздуха и паровой распыл для тонкого дробления топлива.","вихревая горелка; мазут; улиточный аппарат; закрутка воздуха; паровой распыл; дробление; топливо;"
"Улитка центробежного компрессора собирает газ от рабочего колеса и направляет его в диффузор, сечение улитки увеличивается по ходу газа.","улитка центробежного компрессора; газ; рабочее колесо; диффузор;"
"Спектрофотометр для измерения оптической плотности растворов включает источник света, монохроматор и фотоприемник.","спектрофотометр; источник света; монохроматор; фотоприемник;"
"Устройство для измерения пластового давления в скважине с использованием кварцевого манометра с автономной памятью, устройством считывания и программным обеспечением для обработки данных.","кварцевый манометр с автономной памятью; устройство считывания; программное обеспечение;"
"Горелка факельная для сжигания сбросных газов имеет оголовок с газовыми соплами и запальник.","оголовок с газовыми соплами; запальник;"
"Насос струйный водоструйный для создания вакуума, конфузор и диффузор.","насос струйный; водоструйный насос; вакуум; конфузор; диффузор;"
"Отвод газов и воды из пятна контакта колодок с диском улучшает стабильность торможения благодаря проточкам на рабочей поверхности вентилируемого тормозного диска.","газ; вода; пятно контакта; колодка; диск; стабильность; торможение; проточка; рабочая поверхность; вентилируемый диск;"
"Сорбционный фильтр для улавливания паров ртути содержит корпус с сорбентом на основе активированного угля с серой.","сорбционный фильтр; улавливание паров ртути; корпус; сорбент; активированный уголь; сера;"
"Автоколлиматор для контроля углов включает осветитель и зрительную трубу.","автоколлиматор; осветитель; зрительная труба;"
"Способ производства мороженого включает приготовление смеси, ее пастеризацию и фризерование.","способ производства мороженого; приготовление смеси; пастеризация; фризерование;"
"Блок цилиндров V-образного двигателя с развалом 90 градусов, в блоке выполнены постели коленчатого вала.","блок цилиндров; V-образный двигатель; развал; постель; коленчатый вал;"
"Способ очистки газа от сероводорода с использованием абсорбции раствором метилдиэтаноламина с добавкой пиперазина и регенерации в десорбере с глухим паром и системой утилизации тепла кубового остатка.","раствор метилдиэтаноламина с добавкой пиперазина; десорбер с глухим паром; система утилизации тепла кубового остатка;"
"Провод высоковольтный с силиконовой изоляцией и наконечниками.","провод высоковольтный; силиконовая изоляция; наконечник;"
"GSM-модуль для управления вентиляцией через сотовую связь включает GSM-модем и контроллер.","GSM-модуль; управление вентиляцией; сотовая связь; GSM-модем; контроллер;"
"Капиллярный дефектоскоп включает проявитель и пенетрант.","капиллярный дефектоскоп; проявитель; пенетрант;"
"Циркуляционный насос системы отопления с мокрым ротором, электродвигатель и гидравлическая часть разделены гильзой.","циркуляционный насос; система отопления; мокрый ротор; электродвигатель; гидравлическая часть; гильза;"
"Бокс ламинарный для создания стерильной зоны при работе с культурами клеток и микроорганизмами.","бокс ламинарный; стерильная зона; культуры клеток; микроорганизмы;"
"Микроскоп электронный просвечивающий для изучения внутренней структуры материалов включает электронную пушку и систему электромагнитных линз.","микроскоп электронный просвечивающий; изучение внутренней структуры материалов; электронную пушку; систему электромагнитных линз;"
"Мутномер для контроля мутности воды в системах водоподготовки и очистки.","мутномер; мутность; вода; водоподготовка; очистка;"
"Воздухозаборник двигателя с защитной сеткой.","воздухозаборник; двигатель; защитная сетка;"
"Шунт измерительный для расширения предела измерения амперметров по току представляет собой низкоомный резистор с известным сопротивлением.","шунт измерительный; расширение предела измерения; амперметры; низкоомный резистор; известное сопротивление;"
"Датчик температуры охлаждающей жидкости термисторного типа.","датчик температуры; охлаждающая жидкость; термисторный тип;"
"Блок автоматики котла с микропроцессором управляет работой горелки, насосов и датчиков.","блок автоматики; котел; микропроцессор; горелка; насос; датчик;"
"Устройство для измерения содержания калия в воде включает пламенный фотометр.","устройство для измерения содержания калия в воде; пламенный фотометр;"
"Шевронные зубья шестерен в шестеренном насосе обеспечивают плавную и равномерную подачу масла с низким уровнем шума.","шевронный зуб; шестерня; шестеренный насос; подача; масло; уровень шума;"
"Гребенка теплого пола для распределения теплоносителя по петлям включает коллекторы с расходомерами и термостатическими вентилями.","гребенка теплого пола; распределение теплоносителя; петли; коллекторы с расходомерами и термостатическими вентилями;"
"Сепаратор для цемента включает корпус с классифицирующим ротором, питатель, вентилятор и циклоны.","сепаратор; цемент; корпус; классифицирующий ротор; питатель; вентилятор; циклон;"
"Теплоизоляция для теплого пола включает плиты экструдированного пенополистирола с разметкой и замками.","теплоизоляция; плиты экструдированного пенополистирола; разметка; замки;"
"Тахеометр электронный для измерения расстояний, углов и координат в геодезии.","тахеометр; электронный тахеометр; расстояние; угол; координата; геодезия;"
"Педаль акселератора, датчик положения педали.","педаль акселератора; датчик положения педали;"
"Ультразвуковой хирургический аппарат для рассечения тканей и гемостаза включает ультразвуковой генератор и рукоятку с волноводом.","ультразвуковой хирургический аппарат; рассечение тканей; гемостаз; ультразвуковой генератор; рукоятку с волноводом;"
"Датчик массового расхода воздуха пленочного типа, чувствительный элемент.","датчик массового расхода воздуха; пленочный тип; чувствительный элемент;"
"Газовая турбинная установка для производства электроэнергии включает газовую турбину, компрессор, камеру сгорания и генератор.","газовая турбинная установка; газовая турбина; компрессор; камера сгорания; генератор;"
"Компрессор центробежный с системой сухих уплотнений и радиально-упорными подшипниками.","система сухих уплотнений; радиально-упорные подшипники;"
"Камера влажности для испытаний при повышенной влажности воздуха включает увлажнитель, нагреватель и систему контроля.","камера влажности; испытания при повышенной влажности; увлажнитель; нагреватель; система контроля;"
"Реактор с рубашкой обогрева и перемешивающим устройством, корпус из нержавейки.","реактор; рубашка обогрева; перемешивающее устройство; корпус; нержавейка;"
"Шатун двигателя внутреннего сгорания двутаврового сечения. В верхней головке запрессована втулка.","шатун; двигатель внутреннего сгорания; двутавровое сечение; верхняя головка; втулка;"
"Стойка амортизаторная в сборе с пружиной и опорой.","стойка амортизаторная; пружина; опора;"
"Фасовочный автомат для упаковки жидких и пастообразных продуктов в потребительскую тару содержит дозатор, устройство формования и запечатывания.","фасовочный автомат; упаковка жидких продуктов; упаковка пастообразных продуктов; потребительская тара; дозатор; устройство формования; устройство запечатывания;"
"Оборудование для литья в кокиль включает кокиль и машину для заливки металла.","оборудование для литья в кокиль; кокиль; машина для заливки металла;"
"Фильтр магнитный для улавливания ферромагнитных примесей в воде включает корпус с магнитной вставкой.","фильтр магнитный; корпус с магнитной вставкой;"
"Центробежный насос включает рабочее колесо закрытого типа, установленное в спиральном корпусе с патрубками.","центробежный насос; рабочее колесо; закрытый тип; спиральный корпус; патрубок;"
"Система обнаружения утечек на трубопроводе с датчиками давления и расхода и контроллером.","система обнаружения утечек на трубопроводе; датчики давления и расхода; контроллер;"
"Кабельный лоток перфорированный из оцинкованной стали используется для прокладки силовых и слаботочных линий.","кабельный лоток; перфорированный лоток; оцинкованная сталь; прокладка; силовая линия; слаботочная линия;"
"Скруббер для мокрой очистки газов включает корпус с форсунками для орошения и каплеуловитель.","скруббер; мокрая очистка газов; корпус с форсунками; орошение; каплеуловитель;"
"Тепловой извещатель с термочувствительным элементом срабатывает при достижении пороговой температуры.","тепловой извещатель; термочувствительный элемент; пороговая температура;"
"Датчик давления в шине с радиоканалом и элементом питания.","датчик давления в шине; радиоканал; элемент питания;"
"Устройство для измерения расхода газа в магистральном газопроводе с использованием ультразвукового расходомера с многолучевой схемой, системой самодиагностики, резервированием измерительных каналов, встроенным архиватором и защитой от несанкционированного доступа.","ультразвуковой расходомер с многолучевой схемой; система самодиагностики; резервирование измерительных каналов; встроенный архиватор; защита от несанкционированного доступа;"
"Пневмомотор поршневой для создания высокого крутящего момента при низких оборотах включает поршни и кривошипно-шатунный механизм.","пневмомотор поршневой; поршни; кривошипно-шатунный механизм;"
"Насосно-смесительный узел для теплого пола поддерживает заданную температуру теплоносителя в контурах, подмешивая обратную воду к горячей с помощью трехходового клапана и циркуляционного насоса.","насосно-смесительный узел; теплый пол; температура; теплоноситель; контур; обратная вода; горячая вода; трехходовой клапан; циркуляционный насос;"
"Роторный насос внутреннего зацепления работает за счет вращения ведущей шестерни, которая приводит в движение ведомую шестерню, а серпообразный элемент разделяет полости всасывания и нагнетания.","роторный насос; внутреннее зацепление; ведущая шестерня; ведомая шестерня; серпообразный элемент; полость всасывания; полость нагнетания;"
"Способ производства масла из кофе включает экстракцию из зерен.","способ производства масла из кофе; экстракция из зерен;"
"Спектрорадиометр измеряет отраженный от поверхности спектр солнечного излучения для оценки состояния растительности.","спектрорадиометр; спектр; солнечное излучение; растительность;"
"Способ переработки нефтяных остатков в маловязкое топливо включает термический крекинг в трубчатой печи.","термический крекинг в трубчатой печи;"
"Датчик давления для систем автоматики включает чувствительный элемент и электронный преобразователь.","датчик давления; системы автоматики; чувствительный элемент; электронный преобразователь;"
"Пробирка бактериологическая для выращивания микроорганизмов в жидких средах включает стеклянную пробирку с ватной пробкой.","пробирка бактериологическая; стеклянная пробирка; ватная пробка;"
"Резец токарный с механическим креплением пластины, державка.","резец токарный; механическое крепление; пластина; державка;"
"Грузопоршневой манометр для точного воспроизведения давления в качестве эталона содержит поршень с грузоприемным устройством и набор грузов.","грузопоршневой манометр; поршень с грузоприемным устройством; набор грузов;"
"Ниппельная поилка для птицы включает корпус с клапаном и штоком, при касании которого птица получает воду.","ниппельная поилка; птица; корпус с клапаном; шток;"
"Фильтрующий элемент воздушного фильтра из бумаги.","фильтрующий элемент; воздушный фильтр; бумага;"
"Регулятор тяги для котла содержит корпус с заслонкой, рычажную систему и термоэлемент с цепочкой.","регулятор тяги; котел; корпус; заслонка; рычажная система; термоэлемент; цепочка;"
"Расширительный бачок системы охлаждения с клапаном давления.","расширительный бачок; система охлаждения; клапан давления;"
"Фактор асимметрии пика характеризует форму хроматографического пика.","фактор асимметрии пика;"
"В осевом компрессоре поворотные лопатки направляющего аппарата управляются рычажным механизмом от кольцевой системы.","осевой компрессор; поворотная лопатка; направляющий аппарат; рычажный механизм; кольцевая система;"
"Инсуфлятор для подачи газа в полости тела при эндоскопии включает баллон с углекислым газом и регулятор давления.","инсуфлятор; баллон с углекислым газом; регулятор давления;"
"Направляющая опора для трубопроводов ограничивает боковые (поперечные) перемещения трубы, но допускает ее свободное осевое перемещение вдоль направляющих.","направляющая опора; трубопровод; боковое перемещение; поперечное перемещение; труба; осевое перемещение;"
"Устройство для контроля загазованности в помещениях газораспределительных пунктов включает стационарный газоанализатор.","стационарный газоанализатор;"
"Вентиль для перекрытия потока воды включает корпус с седлом и золотником на шпинделе.","вентиль; корпус с седлом; золотник на шпинделе;"
"Очистка газов в циклоне происходит за счет центробежных сил: газ поступает через тангенциальный вход в цилиндрическую часть, а пыль оседает в коническом днище и бункере.","очистка газов; циклон; центробежная сила; тангенциальный вход; цилиндрическая часть; коническое днище; бункер; пыль;"
